Could not open serial port
Please connect USB to the correct port
Will try again in 1 seconds
Could not open serial port
Please connect USB to the correct port
Will try again in 1 seconds
Could not open serial port
Please connect USB to the correct port
Will try again in 1 seconds
2 21.33 30 36.19 5900.64
3 30.14 30 -19.33 5900.72
1 19.02 30 7.11 5908.67
2 21.33 30 -55.7 5908.73
3 18.12 30 5.67 5912.42
1 19.02 30 71.06 5916.55
2 21.33 30 29.62 5920.89
3 25.57 30 62.87 5920.95
1 19.02 30 18.92 5929.16
2 21.33 30 18.54 5929.25
3 37.5 30 25.98 5932.91
1 19.02 30 -71.67 5937.2
2 21.33 30 -14.33 5941.17
3 27.01 30 -28.73 5941.23
1 19.02 30 53.81 5949.68
2 21.33 30 36.64 5949.79
3 24.34 30 18.69 5949.86
1 19.02 30 31.05 5957.67
2 21.33 30 49.35 5961.59
3 30.14 30 32.26 5961.63
1 19.02 30 -50.83 5970
2 21.33 30 -33.57 5970.06
3 27.01 30 6.58 5970.11
1 22.03 30 33.8 5978.43
2 21.33 30 -6.25 5978.52
3 23.06 30 19.08 5982.15
1 22.03 30 56.03 5986.35
2 21.33 30 80.67 5990.57
3 33.8 30 39.08 5990.7
1 22.03 30 -73.23 5998.75
2 21.33 30 14.23 5998.85
3 26.3 30 -9.56 6002.62
1 13.48 30 -8.16 6006.72
2 21.33 30 -60.56 6011.01
3 18.76 30 22.96 6011.07
1 13.48 30 98.49 6019.23
2 21.33 30 49.25 6019.34
3 37.67 30 61.01 6019.43
1 13.48 30 -18.86 6027.48
2 21.33 30 31.53 6031.55
3 35.11 30 -28.45 6031.67
1 16.39 30 -55.86 6039.82
2 21.33 30 -66.82 6039.94
3 19.28 30 -15.65 6040.02
1 16.39 30 84.17 6047.89
2 21.33 30 25.4 6047.94
3 26.15 30 58.47 6051.67
1 16.39 30 -4.53 6060.16
2 21.33 30 59.62 6060.23
3 41.81 30 18.97 6060.27
1 16.39 30 -48.74 6068.29
2 21.33 30 65.68 6072.35
3 37.08 30 18.97 6072.42
1 21.28 30 -48.74 6076.59
2 62.06 30 65.68 6080.54
3 34.91 30 18.97 6080.6
1 21.28 30 -48.74 6088.79
2 62.06 30 65.68 6088.83
3 34.33 30 18.97 6092.63
1 21.28 30 79.55 6096.83
2 62.06 30 65.68 6101.15
3 29.34 30 -16.95 6101.21
1 21.28 30 -34.15 6109.46
2 62.06 30 -175.76 6109.56
3 20.17 30 3.01 6113.14
1 21.28 30 -1.42 6117.38
2 62.06 30 -52.29 6121.54
3 21.45 30 49.12 6121.61
1 21.28 30 108.03 6129.68
2 62.06 30 73.78 6129.73
3 42.76 30 43.15 6129.76
1 21.28 30 -57.1 6137.9
2 62.06 30 11.18 6137.96
3 32.87 30 -58.52 6141.79
1 16.29 30 -57.1 6150.31
2 62.06 30 -42.92 6150.37
3 17.13 30 -9.08 6150.41
1 16.29 30 93.15 6158.61
2 62.06 30 79.73 6158.72
3 31.13 30 64.62 6162.36
1 16.29 30 -20.69 6166.51
